Disease,Doctor Name,Specialization,Contact,Address,Email,Photo_url
Fungal infection,Dr. Ayesha Kumar,Dermatologist,555-1234-123,"Health St, Mumbai, Maharashtra, India",ayesha.kumar@healthcare.com
Allergy,Dr. Rohan Mehta,Allergist,555-5678-456,"Allergy Rd, Delhi, India",rohan.mehta@allergycare.com
GERD,Dr. Aarav Sharma,Gastroenterologist,555-8765-789,"Digestive Ln, Bangalore, Karnataka, India",aarav.sharma@gastrocare.com
Chronic cholestasis,Dr. Pooja Singh,Hepatologist,555-2345-321,"Liver Ave, Hyderabad, Telangana, India",pooja.singh@hepatologycare.com
Drug Reaction,Dr. Arjun Patel,Immunologist,555-3456-654,"Immune Blvd, Chennai, Tamil Nadu, India",arjun.patel@immunocare.com
Peptic ulcer disease,Dr. Sanya Nair,Gastroenterologist,555-4567-987,"Ulcer Way, Kolkata, West Bengal, India",sanya.nair@gastrocare.com
AIDS,Dr. Rajesh Gupta,Infectious Disease Specialist,555-6789-111,"Infection St, Pune, Maharashtra, India",rajesh.gupta@infectiouscare.com
Diabetes,Dr. Manish Verma,Endocrinologist,555-7890-222,"Sugar Ln, Jaipur, Rajasthan, India",manish.verma@endocrinecare.com
Gastroenteritis,Dr. Kavita Rao,Gastroenterologist,555-8901-333,"Stomach Blvd, Ahmedabad, Gujarat, India",kavita.rao@gastrocare.com
Bronchial Asthma,Dr. Anjali Malhotra,Pulmonologist,555-9012-444,"Lung St, Surat, Gujarat, India",anjali.malhotra@pulmocare.com
Hypertension,Dr. Vikram Iyer,Cardiologist,555-0123-555,"Heart Rd, Lucknow, Uttar Pradesh, India",vikram.iyer@cardiocare.com
Migraine,Dr. Nisha Roy,Neurologist,555-1230-666,"Brain Ave, Kanpur, Uttar Pradesh, India",nisha.roy@neurocare.com
Cervical spondylosis,Dr. Ramesh Kaur,Orthopedist,555-2340-777,"Spine St, Nagpur, Maharashtra, India",ramesh.kaur@orthocare.com
Paralysis (brain hemorrhage),Dr. Leela Joshi,Neurologist,555-3450-888,"Stroke Rd, Indore, Madhya Pradesh, India",leela.joshi@neurocare.com
Jaundice,Dr. Amit Dubey,Hepatologist,555-4560-999,"Yellow Ave, Thane, Maharashtra, India",amit.dubey@hepatologycare.com
Malaria,Dr. Sneha Desai,Infectious Disease Specialist,555-5670-101,"Malaria Ln, Bhopal, Madhya Pradesh, India",sneha.desai@infectiouscare.com
Chicken pox,Dr. Vishal Pillai,Dermatologist,555-6780-202,"Pox Rd, Patna, Bihar, India",vishal.pillai@dermatologycare.com
Dengue,Dr. Kiran Pandey,Infectious Disease Specialist,555-7891-303,"Dengue Blvd, Ludhiana, Punjab, India",kiran.pandey@infectiouscare.com
Typhoid,Dr. Poonam Aggarwal,Infectious Disease Specialist,555-8902-404,"Typhoid St, Agra, Uttar Pradesh, India",poonam.aggarwal@infectiouscare.com
Hepatitis A,Dr. Sameer Prasad,Hepatologist,555-9013-505,"Hepatitis Ave, Nashik, Maharashtra, India",sameer.prasad@hepatologycare.com
